AsOfDate,Comapny,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GL_Balance,IHUB_Balance,BalanceDiff,MatchBreak
09/15/2024,UOMNBVF9,37183250,7097,FKP,Auto Loan Account,withdrawal transaction at Wisoky - Smith using card ending with ***(...2692) for YER 533.79 in account ***83056928,35882.06,45102.34,-9220.28,Break
06/10/2024,GXEDTVIL,84031783,3990,BMD,Auto Loan Account,invoice transaction at Reichert: Farrell and Hegmann using card ending with ***(...7084) for MNT 887.26 in account ***63837914,81580.29,18166.46,63413.83,Break
10/12/2023,XKLBSN28XXX,45539333,2566,SEK,Investment Account,withdrawal transaction at Steuber: Turner and Heidenreich using card ending with ***(...9933) for GYD 119.62 in account ***10346863,46762.51,68487.91,-21725.4,Break
10/27/2024,SGFOSABUXXX,81664924,1161,ETB,Investment Account,payment transaction at Block: Koelpin and Thompson using card ending with ***(...2720) for ETB 533.48 in account ***62596746,17783.92,19500.72,-1716.800000000003,Break
08/20/2024,RGYFMFCP,79565512,370,THB,Money Market Account,deposit transaction at Dietrich Inc using card ending with ***(...0601) for BAM 924.27 in account ***97266404,49669.05,20613.08,29055.97,Break
02/01/2024,UBLGNIWRXXX,56627067,4741,RWF,Home Loan Account,deposit transaction at Beatty: Bayer and Stanton using card ending with ***(...7802) for KHR 645.89 in account ***82538146,77690.07,58817.67,18872.40000000001,Break
04/06/2024,QKVOKZQLXXX,28244857,7359,DJF,Auto Loan Account,invoice transaction at O'Hara: Hills and Reichel using card ending with ***(...9576) for CNY 666.63 in account ***41228025,82507.95,97329.3,-14821.350000000006,Break
03/19/2024,MEUOFJD1XXX,18101184,9508,MZN,Savings Account,invoice transaction at Morissette: Bruen and Cummings using card ending with ***(...2437) for SYP 612.26 in account ***81735043,11808.61,69318.03,-57509.42,Break
07/18/2024,QVILAEY3,84527934,3506,LKR,Money Market Account,withdrawal transaction at O'Hara: Conroy and Hayes using card ending with ***(...0932) for FJD 597.84 in account ***22791926,86906.96,61821.79,25085.17000000001,Break
05/05/2024,SZMNSTDR,41484885,5521,ILS,Checking Account,withdrawal transaction at Schroeder - Zulauf using card ending with ***(...9452) for TOP 22.28 in account ***73545964,67046.21,83665.89,-16619.679999999993,Break
09/03/2024,ACWEGNSA,30322151,2510,TZS,Personal Loan Account,payment transaction at Littel - Brown using card ending with ***(...9228) for RUB 236.41 in account ***05018637,74670.03,22841.59,51828.44,Break
01/15/2025,KFGDIMCW,67881387,1053,MXN,Home Loan Account,deposit transaction at Kihn: Paucek and Hoppe using card ending with ***(...0858) for CVE 863.63 in account ***40531690,84272.96,92442.88,-8169.919999999998,Break
04/16/2024,YMLAIRRZXXX,36862779,2830,KHR,Checking Account,invoice transaction at O'Connell - Dickens using card ending with ***(...4257) for ILS 116.11 in account ***08099089,33219.28,94055.89,-60836.61,Break
01/05/2025,EQFKVCFQ19M,69159905,9462,KMF,Checking Account,withdrawal transaction at Yundt - Dicki using card ending with ***(...3346) for CLP 569.15 in account ***14001817,51544.15,46903.51,4640.639999999999,Break
05/23/2024,PNNMIR09,77804990,6693,GIP,Money Market Account,deposit transaction at Hilll Inc using card ending with ***(...1390) for IDR 320.79 in account ***87381243,72319.99,86559.58,-14239.589999999997,Break
10/05/2024,QVTMTVXG,95685393,4379,ZAR,Money Market Account,payment transaction at O'Conner: Cremin and Lang using card ending with ***(...5100) for COP 46.97 in account ***29221715,65602.77,72390.46,-6787.690000000002,Break
12/10/2024,YPFPBAUO28J,54499180,3455,MZN,Home Loan Account,withdrawal transaction at Frami: Ward and Effertz using card ending with ***(...5135) for HTG 62.12 in account ***51486935,69812.86,84705.02,-14892.160000000003,Break
04/15/2024,YNRLPMOZ,91846568,1230,MYR,Money Market Account,invoice transaction at Dietrich: Weissnat and Erdman using card ending with ***(...8413) for DJF 437.68 in account ***10572557,15571.77,48874.03,-33302.259999999995,Break
07/27/2024,OBWSZAYH,36427828,7738,BSD,Auto Loan Account,invoice transaction at Nikolaus: Weber and Glover using card ending with ***(...5557) for PEN 975.99 in account ***10813599,53013.14,64397.64,-11384.5,Break
02/11/2024,TQOEDEK6XXX,15693238,2714,BWP,Home Loan Account,invoice transaction at Hand Inc using card ending with ***(...9114) for MZN 545.78 in account ***80188459,88677.39,53059.74,35617.65,Break
02/26/2024,IXSTGRZI,32733630,44,NIO,Checking Account,payment transaction at Stokes Group using card ending with ***(...8435) for TOP 701.45 in account ***22093553,44512.48,47253.73,-2741.25,Break
09/06/2024,ITIDKYZRXXX,62325,4160,DKK,Money Market Account,withdrawal transaction at Bins: Auer and Harris using card ending with ***(...4766) for MVR 127.26 in account ***91292884,66779.28,14315.86,52463.42,Break
04/20/2024,JWZOMSBNXXX,49633942,3236,COP,Auto Loan Account,withdrawal transaction at Dietrich and Sons using card ending with ***(...8946) for GHS 797.40 in account ***76299512,69648.94,36761.56,32887.380000000005,Break
06/01/2024,QEUWTHWZ,85223329,7047,TJS,Savings Account,deposit transaction at Ruecker Inc using card ending with ***(...7253) for BSD 963.52 in account ***84532197,68743.7,12881.35,55862.35,Break
11/29/2024,BPMVSX1N,81937404,8401,MNT,Investment Account,deposit transaction at Harvey - Jones using card ending with ***(...5462) for THB 332.38 in account ***93523568,34463.7,51520.96,-17057.260000000002,Break
10/18/2023,JKBFAUO6,59617302,8087,KES,Auto Loan Account,deposit transaction at Schmidt - Wilkinson using card ending with ***(...8492) for DJF 889.75 in account ***76307511,79300.08,29346.5,49953.58,Break
11/14/2024,SUNHAR76,54093229,5959,USD,Home Loan Account,invoice transaction at Bode: Rohan and Greenfelder using card ending with ***(...7470) for CVE 98.52 in account ***72566882,43327.23,98739.07,-55411.84,Break
04/13/2024,QYAQNR72,7192716,1672,MXN,Checking Account,deposit transaction at Volkman - Dare using card ending with ***(...7523) for MDL 986.01 in account ***35407153,82389.49,29322.98,53066.51000000001,Break
05/21/2024,TGWYBS2K,23042756,160,LKR,Home Loan Account,deposit transaction at Runolfsson - Dare using card ending with ***(...4762) for HTG 739.83 in account ***31857544,36597.01,88602.85,-52005.84,Break
12/30/2024,NTVWMMLXXXX,30566950,1499,SCR,Money Market Account,deposit transaction at VonRueden - Murazik using card ending with ***(...8585) for AOA 51.73 in account ***30287737,81460.45,37239.7,44220.75,Break
01/13/2024,RUMJSNV38CO,12591323,7372,KGS,Investment Account,withdrawal transaction at Bartell - Durgan using card ending with ***(...8236) for THB 462.33 in account ***39381554,48838.11,88976.63,-40138.52,Break
08/22/2024,EGTNTMPD1GC,18014106,1542,MAD,Auto Loan Account,withdrawal transaction at Lang: Abbott and Renner using card ending with ***(...9813) for PKR 543.15 in account ***39353587,22824.29,31259.89,-8435.599999999999,Break
06/01/2024,VINOGMNY,84178040,3619,MXN,Auto Loan Account,payment transaction at Kling: Torphy and Block using card ending with ***(...8906) for KHR 111.65 in account ***84907652,32165.95,18979.19,13186.760000000002,Break
03/23/2024,KULYBRYS,91667646,4350,ZMW,Credit Card Account,invoice transaction at West: Schaefer and Kihn using card ending with ***(...6108) for BRL 970.61 in account ***51180631,45110.71,67114.54,-22003.829999999994,Break
03/01/2025,NDFJTCB3XKK,95038079,6877,USD,Personal Loan Account,deposit transaction at Kozey Group using card ending with ***(...6811) for LYD 298.30 in account ***49210184,25589.74,35001.16,-9411.420000000002,Break
03/13/2024,LEXALTMYXXX,61490184,2984,BDT,Money Market Account,deposit transaction at Barton - Marks using card ending with ***(...4488) for KWD 478.78 in account ***48920980,49632.14,48310.22,1321.9199999999985,Break
09/12/2024,BUAAPAHE,3433044,5642,UZS,Credit Card Account,withdrawal transaction at Nicolas Group using card ending with ***(...6751) for ZAR 354.01 in account ***39893710,62976.29,32883.82,30092.47,Break
12/16/2023,EESHGMTT70R,63900811,8140,PLN,Personal Loan Account,deposit transaction at Schuppe - Rippin using card ending with ***(...4701) for UZS 489.54 in account ***72759967,72274.36,84673.41,-12399.050000000005,Break
10/20/2024,WKPSAWUEXXX,63921087,5479,TRY,Money Market Account,payment transaction at Ruecker LLC using card ending with ***(...3867) for GHS 547.39 in account ***20676597,28747.02,48427.23,-19680.210000000003,Break
06/01/2024,WGKTGIV8,58317801,2707,KGS,Money Market Account,withdrawal transaction at Nolan and Sons using card ending with ***(...0950) for VES 958.46 in account ***38654466,82075.29,15005.66,67069.62999999999,Break
04/19/2024,TMEMUSBY,53227034,101,IRR,Investment Account,payment transaction at Armstrong Inc using card ending with ***(...2345) for KES 916.04 in account ***70906541,87611.29,37257.37,50353.91999999999,Break
06/14/2024,QFRSZM49K6J,53862274,4871,USD,Home Loan Account,withdrawal transaction at D'Amore Inc using card ending with ***(...3430) for CDF 517.66 in account ***79587737,81154.54,56348.59,24805.95,Break
02/20/2024,MGDJLKHD4FM,71513651,330,MDL,Checking Account,deposit transaction at Moen - Kuvalis using card ending with ***(...3512) for JPY 134.92 in account ***33814159,75410.66,13873.77,61536.89,Break
05/29/2024,TXSNGQXB,64687508,4470,MNT,Money Market Account,deposit transaction at Rolfson Inc using card ending with ***(...6416) for ZWL 277.10 in account ***83705313,70006.51,80195.65,-10189.14,Break
11/25/2024,DKVKLUXO,19145633,4252,CRC,Checking Account,payment transaction at Franecki and Sons using card ending with ***(...7474) for CHF 672.62 in account ***50277082,81900.91,98390.37,-16489.459999999992,Break
10/10/2024,TTBZEHYGXXX,1640919,2677,ILS,Savings Account,deposit transaction at Nolan - Schowalter using card ending with ***(...1096) for MVR 597.88 in account ***08331483,67604.98,96288.82,-28683.84000000001,Break
01/30/2024,RRZHBBXEXXX,27379675,9347,PHP,Auto Loan Account,withdrawal transaction at Dietrich - Heidenreich using card ending with ***(...8494) for BTN 29.89 in account ***24360191,18148.06,18127.48,20.580000000001743,Break
09/07/2024,VYPCAWAU5OH,17496078,9086,BAM,Credit Card Account,deposit transaction at Gerhold and Sons using card ending with ***(...7876) for BGN 431.45 in account ***46177499,44299.63,44167.15,132.47999999999593,Break
04/15/2024,CNXMPMLX,85190868,6864,XOF,Home Loan Account,withdrawal transaction at Anderson - McGlynn using card ending with ***(...1383) for EUR 501.55 in account ***30160013,23839.4,95823.03,-71983.63,Break
11/28/2024,DOYMPL6C,64121503,9120,INR,Investment Account,deposit transaction at Ernser and Sons using card ending with ***(...1591) for SAR 295.69 in account ***23118186,21676.8,23658.13,-1981.3300000000015,Break
04/06/2024,SKXNNRLPXXX,25107356,8595,COP,Checking Account,invoice transaction at Wiegand - Kessler using card ending with ***(...4708) for KRW 334.46 in account ***15335362,15132.68,81866.89,-66734.20999999999,Break
06/29/2024,JDLKKRTY,61055351,3941,BND,Money Market Account,deposit transaction at Larson Inc using card ending with ***(...5019) for EUR 278.91 in account ***06203296,32847.55,38154.0,-5306.449999999997,Break
05/14/2024,YFCFPA6D,46034289,3106,XOF,Investment Account,deposit transaction at DuBuque - Funk using card ending with ***(...7155) for HKD 989.34 in account ***07989364,68517.39,62800.68,5716.709999999999,Break
12/10/2023,DGYLIS01ECJ,6133780,1631,KYD,Investment Account,payment transaction at Russel LLC using card ending with ***(...7449) for DJF 400.88 in account ***13252081,13935.15,55577.04,-41641.89,Break
11/11/2023,UUCYBMFY,86865410,649,SDG,Auto Loan Account,invoice transaction at Mueller LLC using card ending with ***(...5072) for SSP 281.96 in account ***39282303,70637.23,6426.46,64210.77,Break
08/22/2024,OIEOETIN,51601392,3508,USD,Personal Loan Account,withdrawal transaction at Mohr LLC using card ending with ***(...5173) for TOP 317.02 in account ***86107888,49765.75,90773.96,-41008.21000000001,Break
10/04/2024,XALQCFW9,66501427,3766,RON,Credit Card Account,payment transaction at Becker Group using card ending with ***(...9987) for TOP 660.52 in account ***49958477,25253.01,29432.04,-4179.0300000000025,Break
01/07/2025,IBFGTC93,15450976,9999,KES,Savings Account,withdrawal transaction at Prosacco: VonRueden and Schoen using card ending with ***(...3892) for RSD 503.94 in account ***09780953,10534.98,33402.07,-22867.09,Break
10/26/2023,APPOCLLBXXX,18996590,4829,GMD,Auto Loan Account,invoice transaction at Willms - Windler using card ending with ***(...8258) for ISK 765.25 in account ***65353102,72860.31,52157.63,20702.68,Break
12/10/2023,VITMWSWZ,25923346,9810,EUR,Investment Account,withdrawal transaction at Terry Group using card ending with ***(...4236) for BRL 586.76 in account ***49975958,58114.05,80014.67,-21900.619999999995,Break
02/04/2024,LHUMUM23FGZ,22022324,4791,LRD,Savings Account,payment transaction at Skiles Group using card ending with ***(...2762) for GMD 903.14 in account ***07199679,25953.46,80040.0,-54086.54,Break
02/04/2025,SPOEKY28XXX,48260924,1249,SAR,Home Loan Account,invoice transaction at Parker: Hessel and Huels using card ending with ***(...5475) for BGN 176.24 in account ***22034199,13394.17,23213.69,-9819.52,Break
12/19/2024,DTHOPGAA,16416066,5630,USD,Money Market Account,payment transaction at Dietrich Inc using card ending with ***(...8127) for SRD 828.70 in account ***54377003,81040.43,59299.66,21740.76999999999,Break
08/27/2024,IHWAZAR3,84972592,9660,CNY,Personal Loan Account,deposit transaction at Pollich and Sons using card ending with ***(...3463) for VUV 189.36 in account ***59089910,72572.43,28770.57,43801.85999999999,Break
05/12/2024,FXNZGYH8,33072221,5904,IRR,Savings Account,invoice transaction at Becker - Witting using card ending with ***(...5492) for MGA 236.96 in account ***56052207,43794.64,54780.61,-10985.97,Break
05/10/2024,DIEOYTN0Q78,72662384,2907,HTG,Money Market Account,withdrawal transaction at Corkery: Schulist and Emmerich using card ending with ***(...5200) for STN 396.15 in account ***76074465,72047.63,28405.31,43642.32000000001,Break
04/26/2024,HGOMBMPAXXX,52067356,4530,LBP,Personal Loan Account,deposit transaction at Mraz - Bartoletti using card ending with ***(...4830) for MGA 183.45 in account ***36887791,28494.16,80548.77,-52054.61,Break
07/13/2024,GQDPUG8FQRG,90938975,3220,ETB,Auto Loan Account,payment transaction at Crooks - Kris using card ending with ***(...5613) for LKR 79.49 in account ***74641607,78047.08,89649.74,-11602.660000000003,Break
02/02/2025,ZQJXLIFE,89851592,7433,USD,Investment Account,withdrawal transaction at Nikolaus and Sons using card ending with ***(...7486) for ALL 150.53 in account ***29111182,68205.53,68803.34,-597.8099999999977,Break
01/17/2024,XPZANE24XXX,98591228,3986,ETB,Investment Account,withdrawal transaction at Hills - D'Amore using card ending with ***(...0400) for AZN 871.83 in account ***72339495,34701.27,83225.19,-48523.920000000006,Break
06/26/2024,FEGIPM19,67953830,1565,MYR,Auto Loan Account,invoice transaction at McClure and Sons using card ending with ***(...7426) for BIF 44.15 in account ***02305526,35310.14,66740.0,-31429.86,Break
11/12/2023,LNXMMCRMXXX,52150992,7781,PGK,Auto Loan Account,withdrawal transaction at Doyle: Beatty and Pfannerstill using card ending with ***(...4790) for UZS 422.38 in account ***75072290,61906.79,60516.54,1390.25,Break
05/25/2024,ZSUSTJJC,94499310,3561,TZS,Checking Account,deposit transaction at Nader Inc using card ending with ***(...5491) for RON 503.57 in account ***88490330,18146.71,20815.05,-2668.34,Break
10/16/2024,CUZBMP9NXXX,8922165,8146,ALL,Checking Account,deposit transaction at Lindgren LLC using card ending with ***(...4623) for CUP 895.69 in account ***48658208,87625.53,19639.39,67986.14,Break
05/22/2024,ZHSWCA96,92191705,218,GEL,Money Market Account,payment transaction at Windler - Cartwright using card ending with ***(...5731) for PLN 161.86 in account ***75346741,30692.45,35112.26,-4419.810000000001,Break
12/01/2023,TISMALT16AV,62984463,640,ETB,Money Market Account,deposit transaction at Upton Group using card ending with ***(...0333) for MKD 724.86 in account ***70479695,36627.03,71849.07,-35222.04000000001,Break
10/17/2023,WEVJFRT9,79823926,450,MVR,Investment Account,deposit transaction at Doyle Group using card ending with ***(...4361) for SSP 105.48 in account ***60538061,80849.96,98830.35,-17980.39,Break
02/16/2024,TJGSAI5ZXXX,91313835,2802,SHP,Auto Loan Account,withdrawal transaction at Boehm - Reinger using card ending with ***(...1587) for ALL 108.68 in account ***34982941,36638.24,10449.73,26188.51,Break
12/15/2024,FSGOAWSY,26192137,2684,ILS,Money Market Account,invoice transaction at O'Connell: Nolan and Schmidt using card ending with ***(...8974) for NAD 987.14 in account ***75992111,89319.04,60699.46,28619.579999999994,Break
02/17/2024,FOXYAUN4,44466766,5990,ERN,Money Market Account,payment transaction at Mayer: Stark and Thompson using card ending with ***(...4728) for SLE 82.81 in account ***25907909,52189.53,34715.14,17474.39,Break
03/14/2024,NFJVMPL4,67114891,1348,PHP,Money Market Account,withdrawal transaction at Harris: Becker and Hahn using card ending with ***(...2041) for EUR 674.15 in account ***46811673,62892.77,19620.57,43272.2,Break
12/14/2024,HGUGLUDR,5513885,2270,USD,Auto Loan Account,payment transaction at Borer Group using card ending with ***(...2124) for USD 776.82 in account ***94483931,75492.59,63974.85,11517.739999999998,Break
10/18/2023,RNAEGHTK,27295792,9099,CZK,Personal Loan Account,withdrawal transaction at Dickens: Cummerata and Stokes using card ending with ***(...4148) for NGN 954.98 in account ***24024815,23989.71,57292.07,-33302.36,Break
06/07/2024,YNSKCAPB,389883,391,SLE,Auto Loan Account,deposit transaction at Kunde: Hintz and Senger using card ending with ***(...6951) for TRY 505.50 in account ***47881414,30103.1,33516.53,-3413.4300000000003,Break
07/02/2024,JZAFBGJTXXX,70785663,2666,CUP,Investment Account,payment transaction at Green and Sons using card ending with ***(...1071) for AED 415.37 in account ***10814967,17827.65,53366.95,-35539.3,Break
11/08/2024,ZJWOERW9FJY,65034107,7618,ILS,Auto Loan Account,deposit transaction at Roob - Crona using card ending with ***(...4161) for AOA 203.30 in account ***87214502,26239.42,52273.57,-26034.15,Break
08/21/2024,EICQSJ2ZXXX,55775293,3850,TND,Credit Card Account,invoice transaction at Stiedemann: Bednar and Haley using card ending with ***(...8772) for NIO 779.10 in account ***58312394,47447.71,14128.66,33319.05,Break
11/14/2023,PUILPYZPY2X,11828658,2745,EUR,Home Loan Account,withdrawal transaction at Herzog - Walker using card ending with ***(...3144) for KWD 452.09 in account ***22573825,34570.64,79237.97,-44667.33,Break
03/29/2024,XSUXZMQ4XXX,77982556,3804,ETB,Checking Account,withdrawal transaction at Bechtelar: Carter and Block using card ending with ***(...1704) for HUF 344.27 in account ***28633124,57619.22,86800.87,-29181.649999999998,Break
04/05/2024,ACIGSCYA,47230096,9257,BHD,Credit Card Account,payment transaction at Dicki: Gislason and Bartoletti using card ending with ***(...1937) for BMD 511.63 in account ***60372430,82625.15,95295.32,-12670.170000000013,Break
06/07/2024,OWMINRKPMCK,58145400,7489,USD,Credit Card Account,deposit transaction at Schaefer and Sons using card ending with ***(...2032) for BDT 591.47 in account ***86520421,57295.47,35628.18,21667.29,Break
08/01/2024,HNKBJMLVDP2,98546222,6040,KGS,Checking Account,invoice transaction at Zieme - Gutkowski using card ending with ***(...5019) for LKR 421.70 in account ***04204522,61439.81,47566.52,13873.29,Break
12/27/2023,RRFTCX9RAFO,64682931,4731,SHP,Credit Card Account,payment transaction at Reilly: Rice and Stehr using card ending with ***(...6746) for DZD 178.20 in account ***02787769,40681.0,53080.67,-12399.669999999998,Break
11/18/2024,LFBNFOJK,31774596,7246,DKK,Checking Account,payment transaction at Ratke LLC using card ending with ***(...6922) for TMT 470.64 in account ***01276010,12829.7,9022.64,3807.060000000001,Break
07/01/2024,PXCHDEMVQUP,68296866,2798,AOA,Investment Account,deposit transaction at Cartwright Inc using card ending with ***(...1001) for JPY 133.08 in account ***61277305,75682.18,53878.18,21803.999999999996,Break
01/19/2024,QLMTGPP3,66038066,4978,MWK,Investment Account,withdrawal transaction at Lehner: Johnson and King using card ending with ***(...4571) for BZD 406.29 in account ***50535812,39966.93,60127.26,-20160.33,Break
08/05/2024,AEJBMR9Y,20445939,8385,BDT,Checking Account,withdrawal transaction at Schuppe: Boyle and Durgan using card ending with ***(...2681) for AOA 940.88 in account ***08005327,39169.54,50733.67,-11564.129999999996,Break
06/07/2024,XFCUMLKC,16540745,7636,CRC,Checking Account,invoice transaction at Wolff - Fay using card ending with ***(...3883) for MXN 771.44 in account ***68393250,28284.79,35353.92,-7069.129999999997,Break
06/05/2024,UCBXJECK,95747231,1588,ETB,Investment Account,withdrawal transaction at Weimann - Altenwerth using card ending with ***(...0741) for RON 92.25 in account ***11509500,38589.11,32641.65,5947.459999999999,Break
01/04/2025,UKEKCL5JXXX,73875549,8046,ZMW,Investment Account,withdrawal transaction at Kub: Jaskolski and Wisozk using card ending with ***(...6558) for XAF 816.14 in account ***95612364,55953.88,67958.91,-12005.030000000006,Break
06/01/2024,YUJKTC6TUKP,99252751,3929,AOA,Auto Loan Account,deposit transaction at Pacocha: Sipes and Wiza using card ending with ***(...0032) for AED 549.42 in account ***25087984,15485.45,53044.97,-37559.52,Break
10/25/2024,ZWGFFMCC,52998583,6046,ZAR,Home Loan Account,withdrawal transaction at Dicki - Nicolas using card ending with ***(...9501) for BDT 914.97 in account ***31784566,89220.44,67440.42,21780.020000000004,Break
01/29/2025,GAIDGPR0SD2,11444685,5686,USD,Checking Account,invoice transaction at Cormier - Abbott using card ending with ***(...2857) for KRW 346.48 in account ***82578449,47012.04,50829.36,-3817.32,Break
11/22/2023,FNHJFJNH265,78997794,3372,TOP,Investment Account,withdrawal transaction at Wuckert - Bailey using card ending with ***(...1495) for PYG 788.60 in account ***74539216,21618.84,95501.72,-73882.88,Break
02/15/2025,SRBCBM6G,2423863,4851,FKP,Auto Loan Account,deposit transaction at Cole: Littel and McKenzie using card ending with ***(...5811) for BTN 983.59 in account ***30641724,16045.34,30513.41,-14468.07,Break
07/11/2024,UECMGYZ6,36550455,8321,RSD,Personal Loan Account,withdrawal transaction at Wilkinson Inc using card ending with ***(...7180) for MAD 945.54 in account ***54681234,47176.37,38978.02,8198.350000000006,Break
12/23/2023,LAPMMMCB,17479177,2090,BRL,Credit Card Account,withdrawal transaction at Batz and Sons using card ending with ***(...3188) for CNY 112.76 in account ***34005542,32575.79,56455.87,-23880.08,Break
04/02/2024,WRUJGGJGXXX,75098278,9479,PEN,Personal Loan Account,payment transaction at Jones - Paucek using card ending with ***(...5291) for RSD 718.54 in account ***05670539,65494.52,43807.35,21687.17,Break
01/11/2025,ROSWBFD2XXX,51465538,8292,NGN,Investment Account,deposit transaction at Buckridge - Cassin using card ending with ***(...9849) for KRW 328.42 in account ***77059259,64001.66,8901.66,55100.0,Break
11/08/2023,YXFJCZCGXXX,83255296,9941,SYP,Checking Account,withdrawal transaction at Veum and Sons using card ending with ***(...8242) for RUB 81.77 in account ***82309428,39185.15,57662.59,-18477.439999999995,Break
10/04/2023,BYUZSDPE,57289289,9817,TND,Checking Account,deposit transaction at Walter LLC using card ending with ***(...8299) for AED 751.47 in account ***93163602,75062.16,76863.21,-1801.050000000003,Break
07/04/2024,NFDVIET1,66896290,6827,MKD,Credit Card Account,invoice transaction at Hagenes - Balistreri using card ending with ***(...1484) for CZK 771.35 in account ***24948177,74028.55,73047.8,980.75,Break
05/15/2024,ZGCBSG30XXX,59580486,3847,PLN,Savings Account,deposit transaction at Torp LLC using card ending with ***(...7382) for MZN 192.28 in account ***62271392,50187.37,35450.9,14736.47,Break
11/24/2024,ZJNCBJ7F,81691361,9881,ZAR,Checking Account,invoice transaction at Heidenreich: Sawayn and Ortiz using card ending with ***(...0306) for LBP 422.80 in account ***31026459,41478.63,5980.13,35498.5,Break
01/10/2025,MOQSTFK6,84405124,1527,ZAR,Home Loan Account,withdrawal transaction at Weimann - Wilkinson using card ending with ***(...8008) for IDR 966.64 in account ***24033488,59128.07,39217.72,19910.35,Break
11/22/2024,AJKKSNMBXXX,6204243,8294,TJS,Credit Card Account,deposit transaction at Nienow LLC using card ending with ***(...6239) for RON 426.10 in account ***32279178,10648.99,29419.2,-18770.21,Break
10/03/2023,BTMZGWF2,57574817,1177,COP,Credit Card Account,invoice transaction at Gottlieb: Krajcik and Bernier using card ending with ***(...5324) for ZAR 524.82 in account ***29343857,83191.59,78671.15,4520.440000000002,Break
12/06/2023,HSCGCGV5,41517492,465,GTQ,Money Market Account,payment transaction at D'Amore LLC using card ending with ***(...9421) for TRY 857.22 in account ***54308186,32663.03,7139.63,25523.4,Break
06/11/2024,WZPHPT4M,5735582,2513,RUB,Checking Account,payment transaction at Greenholt: Ritchie and Ritchie using card ending with ***(...0320) for NZD 537.71 in account ***77895017,35467.01,33348.57,2118.4400000000023,Break
02/17/2024,NFAKLII7XXX,44096473,8417,HUF,Credit Card Account,deposit transaction at Leuschke LLC using card ending with ***(...4648) for KZT 501.55 in account ***51084025,84494.13,87112.84,-2618.709999999992,Break
09/19/2024,XCUICNI7XXX,60771140,7517,USD,Investment Account,invoice transaction at Turner - Schiller using card ending with ***(...1572) for SLE 997.83 in account ***03809864,86818.88,21299.77,65519.11,Break
01/13/2025,YQWXGPJTOG0,65853413,8517,ZMW,Home Loan Account,deposit transaction at Johns - Crooks using card ending with ***(...6434) for XOF 840.12 in account ***33041937,19181.61,53961.06,-34779.45,Break
01/09/2024,TYUNGNAC,73083121,4828,THB,Home Loan Account,invoice transaction at Abshire: Schiller and Wilderman using card ending with ***(...5692) for CHF 690.31 in account ***46668741,72122.67,63129.68,8992.989999999998,Break
11/14/2023,XBGNKNZD,59100558,7430,AMD,Home Loan Account,withdrawal transaction at Kiehn Group using card ending with ***(...6325) for RWF 977.79 in account ***95442794,69138.08,37119.86,32018.22,Break
11/13/2024,ILKXBGM2,50223719,9116,JMD,Investment Account,payment transaction at Torphy - Jast using card ending with ***(...3784) for KWD 119.37 in account ***35730308,82039.01,74420.27,7618.739999999991,Break
10/26/2023,PJOWCA7VXXX,7719584,5475,ANG,Money Market Account,invoice transaction at Wunsch: Hegmann and Kassulke using card ending with ***(...5363) for SSP 453.46 in account ***58626883,76799.15,45601.99,31197.16,Break
08/16/2024,QYQNIOCF,30810124,62,CNY,Personal Loan Account,withdrawal transaction at Schuster - Jast using card ending with ***(...8567) for BSD 7.37 in account ***92063262,80430.98,43208.58,37222.4,Break
08/12/2024,BPSWSXLQIVJ,67191437,2242,SZL,Savings Account,invoice transaction at Baumbach - Doyle using card ending with ***(...8605) for DKK 51.15 in account ***50362290,78673.8,81206.59,-2532.7899999999936,Break
12/19/2023,TOAAIDS5,14100028,4024,IQD,Auto Loan Account,invoice transaction at Hilll and Sons using card ending with ***(...5727) for BOB 452.85 in account ***91120139,77571.33,48063.44,29507.89,Break
02/18/2025,CMGABI5EW6E,18833339,6879,USD,Savings Account,withdrawal transaction at Armstrong: Christiansen and Murazik using card ending with ***(...8360) for BYN 49.10 in account ***51160855,30287.17,56444.2,-26157.03,Break
12/01/2024,ELAQMDEN,41653326,9463,SDG,Checking Account,deposit transaction at White - Beahan using card ending with ***(...8024) for AZN 769.77 in account ***54213704,81256.97,49647.73,31609.24,Break
12/23/2023,JTEBGEKWXXX,5620229,8891,BND,Personal Loan Account,invoice transaction at Huel and Sons using card ending with ***(...2739) for CNY 427.65 in account ***67750977,89471.97,24679.24,64792.73,Break
12/27/2024,ABQGSJ12,3383554,5173,AUD,Investment Account,payment transaction at Swift Group using card ending with ***(...5524) for ILS 341.68 in account ***66219705,11119.78,87759.26,-76639.48,Break
01/07/2025,UBURMFCE,2647662,2117,NOK,Savings Account,deposit transaction at Lindgren - Upton using card ending with ***(...9564) for BBD 158.57 in account ***70664893,83993.52,88184.24,-4190.720000000001,Break
06/01/2024,MWCCBER1,52806376,7409,GTQ,Personal Loan Account,payment transaction at Shanahan - Paucek using card ending with ***(...7836) for KHR 893.60 in account ***38593841,23481.07,14961.76,8519.31,Break
03/09/2024,HXYMPTCH,3772637,2648,SBD,Checking Account,deposit transaction at Grady: Romaguera and Rath using card ending with ***(...5937) for SAR 345.32 in account ***40146081,31098.78,52867.56,-21768.78,Break
05/18/2024,KLPNMKFEXXX,64882366,8643,SGD,Auto Loan Account,payment transaction at Braun Inc using card ending with ***(...1702) for AWG 910.23 in account ***02809671,45332.35,48656.39,-3324.040000000001,Break
